,original_index,Grupo_Metabolico
232,2551,2. Transferasas
233,2554,3. Hidrolasas
234,2555,2. Transferasas
235,2558,1. Oxidorreductasas
236,2570,1. Oxidorreductasas
237,2582,3. Hidrolasas
238,2599,1. Oxidorreductasas
239,2634,6. Ligasas
240,2637,1. Oxidorreductasas
241,2640,3. Hidrolasas
242,2644,3. Hidrolasas
243,2659,1. Oxidorreductasas
244,2683,2. Transferasas
245,2684,2. Transferasas
246,2707,3. Hidrolasas
247,2728,2. Transferasas
248,2730,1. Oxidorreductasas
249,2742,3. Hidrolasas
250,2757,6. Ligasas
251,2771,3. Hidrolasas
252,2803,5. Isomerasas
253,2833,2. Transferasas
254,2844,1. Oxidorreductasas
255,2859,2. Transferasas
256,2864,2. Transferasas
257,2865,2. Transferasas
258,2886,2. Transferasas
259,2895,3. Hidrolasas
260,2902,2. Transferasas
261,2945,3. Hidrolasas
262,2950,2. Transferasas
263,2951,3. Hidrolasas
264,2982,6. Ligasas
265,2988,2. Transferasas
266,3062,1. Oxidorreductasas
267,3065,3. Hidrolasas
268,3134,3. Hidrolasas
269,3146,3. Hidrolasas
270,3147,3. Hidrolasas
271,3151,2. Transferasas
272,3158,2. Transferasas
273,3161,1. Oxidorreductasas
274,3171,3. Hidrolasas
275,3172,3. Hidrolasas
276,3226,2. Transferasas
277,3228,3. Hidrolasas
278,3230,2. Transferasas
279,3241,2. Transferasas
280,3242,2. Transferasas
281,3260,2. Transferasas
282,3284,2. Transferasas
283,3347,2. Transferasas
284,3348,3. Hidrolasas
285,3391,1. Oxidorreductasas
286,3408,4. Liasas
287,3420,2. Transferasas
288,3428,2. Transferasas
289,3491,2. Transferasas
290,3529,6. Ligasas
291,3538,2. Transferasas
292,3545,2. Transferasas
293,3562,1. Oxidorreductasas
294,3574,3. Hidrolasas
295,3577,2. Transferasas
296,3604,5. Isomerasas
297,3622,3. Hidrolasas
298,3624,2. Transferasas
299,3628,1. Oxidorreductasas
300,3634,1. Oxidorreductasas
301,3641,3. Hidrolasas
302,3647,2. Transferasas
303,3648,3. Hidrolasas
304,3655,2. Transferasas
305,3665,2. Transferasas
306,3667,2. Transferasas
307,3720,2. Transferasas
308,3739,3. Hidrolasas
309,3757,3. Hidrolasas
310,3768,3. Hidrolasas
311,3797,2. Transferasas
312,3808,1. Oxidorreductasas
313,3821,2. Transferasas
314,3823,2. Transferasas
315,3833,2. Transferasas
316,3834,2. Transferasas
317,3838,2. Transferasas
318,3887,1. Oxidorreductasas
319,3902,2. Transferasas
320,3912,2. Transferasas
321,3943,4. Liasas
322,3958,2. Transferasas
323,3971,2. Transferasas
324,4050,2. Transferasas
325,4211,2. Transferasas
326,4246,5. Isomerasas
327,4264,4. Liasas
328,4328,2. Transferasas
329,4363,2. Transferasas
330,4366,2. Transferasas
331,4395,2. Transferasas
332,4417,2. Transferasas
333,4522,2. Transferasas
334,4653,2. Transferasas
335,4697,7. Translocasas
336,4794,5. Isomerasas
337,4882,2. Transferasas
338,5042,2. Transferasas
339,5046,2. Transferasas
340,5123,2. Transferasas
341,5172,3. Hidrolasas
342,5177,1. Oxidorreductasas
343,5178,1. Oxidorreductasas
344,5221,3. Hidrolasas
345,5240,4. Liasas
346,5304,2. Transferasas
347,5328,2. Transferasas
348,5360,2. Transferasas
349,5418,3. Hidrolasas
350,5453,2. Transferasas
351,5523,2. Transferasas
352,5597,3. Hidrolasas
353,5599,2. Transferasas
354,5627,3. Hidrolasas
355,5776,2. Transferasas
356,5923,3. Hidrolasas
357,5949,3. Hidrolasas
358,5958,3. Hidrolasas
359,5998,2. Transferasas
360,6015,3. Hidrolasas
361,6071,2. Transferasas
362,6099,1. Oxidorreductasas
363,6147,2. Transferasas
364,6172,3. Hidrolasas
365,6173,3. Hidrolasas
366,6183,3. Hidrolasas
367,6192,2. Transferasas
368,6193,2. Transferasas
369,6218,3. Hidrolasas
370,6219,3. Hidrolasas
371,6226,6. Ligasas
372,6236,2. Transferasas
373,6259,2. Transferasas
374,6264,1. Oxidorreductasas
375,6292,1. Oxidorreductasas
376,6306,2. Transferasas
377,6339,3. Hidrolasas
378,6350,1. Oxidorreductasas
379,6361,3. Hidrolasas
380,6371,2. Transferasas
381,6383,3. Hidrolasas
382,6392,1. Oxidorreductasas
383,6413,3. Hidrolasas
384,6424,5. Isomerasas
385,6470,2. Transferasas
386,6482,2. Transferasas
387,6491,3. Hidrolasas
388,6496,2. Transferasas
389,6500,6. Ligasas
390,6514,3. Hidrolasas
391,6532,2. Transferasas
392,6539,5. Isomerasas
393,6542,2. Transferasas
394,6565,2. Transferasas
395,6573,5. Isomerasas
396,6586,2. Transferasas
397,6600,3. Hidrolasas
398,6602,2. Transferasas
399,6606,2. Transferasas
400,6634,4. Liasas
401,6654,2. Transferasas
402,6668,2. Transferasas
403,6677,2. Transferasas
404,6683,1. Oxidorreductasas
405,6684,2. Transferasas
406,6734,1. Oxidorreductasas
407,6745,2. Transferasas
408,6753,1. Oxidorreductasas
409,6765,3. Hidrolasas
410,6767,2. Transferasas
411,6769,1. Oxidorreductasas
412,6772,1. Oxidorreductasas
